Test ID,Test Name,Token Value,Mobile Applicable?,Is Public?,Test Type,Test Description,Item Count,Estimated Time,category:Accounting Knowledge,category:Accounting Office,category:Banking,category:Behavioral + Cognitive Profile,category:Behavioral Profile,category:Call Center,category:Clerical Office,category:Digital Literacy,category:Food Services,category:Gaming,category:Industrial,category:IT Skills,category:Legal,category:Medical Knowledge,category:Medical Office,category:Microsoft Office Skills,category:Nursing,category:Retail Sales,category:Software Skills,category:Staffing Services Management,industry:Banking/Finance,industry:Food Services,industry:Gaming/Hospitality,industry:Healthcare,industry:Information Technology,industry:Legal Services,industry:Manufacturing/Logistics,industry:Retail,industry:Staffing Services,language:Dutch,language:English,language:English for Australia,language:English for Canada,language:English for New Zealand,language:English for South Africa,language:English for UK,language:French,language:French Canadian,language:German,language:Italian,language:Spanish,language:Spanish for North America,level:Advanced Skills,level:Basic Skills,level:Entry Level Behavioral/Cognitive,level:Management Level Behavioral/Cognitive,level:Professional Level Behavioral/Cognitive,level:Standard Skills,productGroup:Accounting,productGroup:Bank Teller,productGroup:Behavioral/Cognitive Profile,productGroup:Call Center Skills,productGroup:Checking,productGroup:Coding,productGroup:Customer Service,productGroup:Data Entry,productGroup:DeltaView,productGroup:Digital Literacy,productGroup:Eclipse,productGroup:Filing,productGroup:Finance,productGroup:Food Service Skills,productGroup:Gaming Skills,productGroup:Grammar,productGroup:HIPAA,productGroup:Industrial Safety,productGroup:Industrial Skills,productGroup:Legal Knowledge,productGroup:Light Industrial Skills,productGroup:Lotus Notes,productGroup:Math,productGroup:Medical Knowledge,productGroup:Medical Office Skills,productGroup:Microsoft Access,productGroup:Microsoft Excel,productGroup:Microsoft FrontPage,productGroup:Microsoft Internet Explorer,productGroup:Microsoft Outlook,productGroup:Microsoft PowerPoint,productGroup:Microsoft Project,productGroup:Microsoft Publisher,productGroup:Microsoft Windows,productGroup:Microsoft Word,productGroup:MYOB,productGroup:Nursing Knowledge,productGroup:Office Manager Skills,productGroup:Peachtree,productGroup:Postal Codes,productGroup:Programming Skills,productGroup:Proofreading,productGroup:QuickBooks,productGroup:Reading Comprehension,productGroup:Receptionist Skills,productGroup:Retail Sales Skills,productGroup:Secretarial Skills,productGroup:Shorthand,productGroup:Spelling,productGroup:Staffing Knowledge,productGroup:Telemarketing Skills,productGroup:Telephone Skills,productGroup:Ten Key Test,productGroup:Transcription,productGroup:Translation - Spanish to English,productGroup:Typing Test,productGroup:Vocabulary,productGroup:Workplace English Usage (Spanish)
EN_FDSPR,"Food Service Preparation",1,false,true,Standard,"Questions cover topics such as types of cuisines, ingredients, cooking basics, measurement, utensils and equipment.",35,20 minutes,,,,,,,,,Food Services,,,,,,,,,,,,,Food Services,Gaming/Hospitality,,,,,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,Food Service Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FDSSS,"Food Service Sanitation",1,false,true,Standard,"Questions cover topics such as food storage and handling, disease prevention and personnel hygiene.",35,20 minutes,,,,,,,,,Food Services,,,,,,,,,,,,,Food Services,Gaming/Hospitality,,,,,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,Food Service Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FDSWS,"Food Service Wait Staff",1,false,true,Standard,"This test measures knowledge of Food Service Staff, Serving & Clearing, Nutrition, Food Identification, Cooking Techniques, Wine Terminology, Wine Recognition, and Non-alcoholic Beverages.",30,20 minutes,,,,,,,,,Food Services,,,,,,,,,,,,,Food Services,Gaming/Hospitality,,,,,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,Food Service Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FDSWT,"Food Service Wine Terminology",1,false,true,Standard,"This test measures knowledge of Wine Terminology, Wine Recognition, Glassware, and Serving & Clearing.",26,20 minutes,,,,,,,,,Food Services,,,,,,,,,,,,,Food Services,Gaming/Hospitality,,,,,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,Food Service Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FIBCC,"Finance - Credit and Collections (b)",1,false,true,Standard,"Assesses an understanding of consumer and commercial credit issues including billing procedures, credit and collection laws, rules and procedures.",35,20 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FIBCF,"Finance - Consumer Finance (b)",1,false,true,Standard,"Assesses an understanding of consumer finance issues including credit monitoring, debt concepts, educational finance, investment, planning and insurance.",35,20 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FIBFA,"Finance - Financial Analysis (b)",1,false,true,Standard,"Assesses an understanding of financial analysis procedures and techniques including investment and analysis concepts, financial statements and financial data resources.",35,20 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FIBFK,"Finance - Financial Knowledge (b)",1,false,true,Standard,"Assesses foundational knowledge of financial issues including financial markets and business structures, financial management and analysis concepts, currency markets, business ethics and law.",35,20 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FIBFM,"Finance - Financial Management (b)",1,false,true,Standard,"Assesses an understanding of financial management knowledge and skill including financial management concepts and calculations, debt and debt restructuring, financial reorganization and Sarbanes-Oxley issues.",35,20 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FIBIH,"Finance - Insurance - Health (b)",1,false,true,Standard,"Assesses a broad understanding of insurance issues including auto, business, health, life and property insurance.",45,20 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FIBIN,"Finance - Insurance (b)",1,false,true,Standard,"Assesses an understanding of various aspects of health insurance including employer-related insurance, elements of health insurance plans, insurance billing and coding.",30,20 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLCCA,"Data Entry - Call Center (Audio) (F)",1,false,true,Audio,"Listening to a simulated marketing call, examinees are asked to type the required information into an on-screen form.",0,10 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLDA1,"Data Entry - Standard (Audio) (F)",1,false,true,Audio,"Examinees enter data into online forms from audio input.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLDAL,"Data Entry Test - Alphanumeric (F)",1,false,true,Standard,"The applicant is asked to type names and addresses using the keyboard.  Scores are based on speed and accuracy of input.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLDC1,"Data Entry - Sales (Orders)(F)",1,false,true,Standard,"The applicant is asked to type details from a business card into an on-screen form.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,Retail Sales,,,Banking/Finance,,Gaming/Hospitality,,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLDC2,"Data Entry - Sales (Leads)(F)",1,false,true,Standard,"The applicant is asked to type details from a business card into an on-screen form.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,Retail Sales,,,Banking/Finance,,Gaming/Hospitality,,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLDCH,"Data Entry - Checks (F)",1,false,true,Standard,"The applicant is asked to type details from a series of checks into an on-screen form.  Scores are based on speed and accuracy.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLDDE,"Data Entry - Decimals (F)",1,false,true,Standard,"The applicant is asked to type numbers that include decimals using the keyboard.  Scores are based on speed and accuracy.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLDNU,"Data Entry Test - Numeric (F)",1,false,true,Standard,"Examinees are asked to type numerical information using the computer keypad.  Scores are based on speed and accuracy of input.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLNNA,"Filing - Names (4min)",1,false,true,4min,"Examinees must select the correct location for filing documents based on names and companies.",0,4 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLNNU,"Filing - Numbers (4min)",1,false,true,4min,"Examinees must select the correct location for filing documents based on dates and  numbers.",0,4 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLNST,"Filing - Standard (4min)",1,false,true,4min,"Examinees must select the correct location for filing documents based on dates, numbers, names and companies.",0,4 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTAC,"Typing Test - Accounting (F)",1,false,true,Standard,"Tests typing speed and error rate while copying a text.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTBF,"Typing Test - Banking and Finance (F)",1,false,true,Standard,"Examinees are asked to type numbers that include terminology related to banking and finance.  Scores measure typing speed and accuracy.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTIT,"Typing Test - Technical (F)",1,false,true,Standard,"Examinees are asked to type a document that includes terminology related to technology.  Scores measure typing speed and accuracy.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,,,,,Information Technology,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTK1,"Ten Key Test (F)",1,false,true,Standard,"Examinees are asked to type numerical information using the computer keypad.  Scores measure speed and accuracy of input.",0,3 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,,,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTLG,"Typing Test - Legal (F)",1,false,true,Standard,"This test assesses typing speed and accuracy when typing a document specific to work in a legal environment.",0,5 minutes,,,,,,,Clerical Office,,,,,,Legal,,,,,,,,,,,,,Legal Services,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTMD,"Typing Test - Medical (F)",1,false,true,Standard,"Tests typing speed and error rate while copying a text specific to medical environments.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,Medical Office,,,,,,,,,Healthcare,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTRA,"Transcription - Accounting (F)",1,false,true,Standard,"Examinees type a document that is read aloud.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTRB,"Transcription - Business (F)",1,false,true,Standard,"Examinees type a document that is read aloud.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,,,,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_FLTRM,"Transcription - Medical (F)",1,false,true,Standard,"Examinees type a medical document that is read aloud.",0,5 minutes,,,,,,,Clerical Office,,,,,,,,Medical Office,,,,,,,,,Healthcare,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_GRMBS,"Grammar - Business",1,false,true,Standard,"Examinees are asked to select grammatically correct sentences specific to business environments.",20,10 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,French Canadian,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_GRMGN,"Grammar - General",1,false,true,Standard,"Examinees are asked to select grammatically correct sentences.",20,10 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,English for UK,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_HI220,"HIPAA - Standard - (2011)",1,false,true,Standard,"This test assesses examinees understanding of national standard to protect the privacy of personal health information as specified in the US Health Insurance Portability and Accountability Act (HIPAA).",20,15 minutes,,,,,,,,,,,,,,,Medical Office,,,,,,,,,Healthcare,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,HIPAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_HI2NU,"Nursing - HIPAA - (2011)",1,false,true,Standard,"This test assesses examinees understanding of national standard to protect the privacy of personal health information as specified in the US Health Insurance Portability and Accountability Act (HIPAA).",20,15 minutes,,,,,,,,,,,,,,,,,Nursing,,,,,,,Healthcare,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nursing Knowledge,,,,,,,,,,,,,,,,,,,,,
EN_HTMST,"HTML Programming - Standard",1,false,true,Standard,"Questions covering beginner tasks using HTML programming language using a simulated programming environment.",20,25 minutes,,,,,,,,,,,,IT Skills,,,,,,,,,,,,,Information Technology,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programming Skills,,,,,,,,,,,,,,,,,
EN_IE6ST,"Internet Explorer 6.0 - Standard",1,false,true,Standard,"Questions on the most commonly used Microsoft Internet Explorer features such as customizing Internet Explorer, file management, browsing web pages and searching the internet.",30,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IE7ST,"Internet Explorer 7.0 - Standard",1,false,true,Standard,"Questions on the most commonly used Microsoft Internet Explorer features such as customizing Internet Explorer, file management, browsing web pages and searching the internet.",30,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IE8ST,"Internet Explorer 8.0 - Standard",1,false,true,Standard,"Questions on the most commonly used Microsoft Internet Explorer 8 features such as customizing Internet Explorer, file management, browsing web pages and searching the internet.",30,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IE9SST,"Internet Explorer 9.0 - Standard",1,false,true,Standard,"Questions on the most commonly used Microsoft Internet Explorer 9 features such as customizing Internet Explorer, file management, browsing web pages and searching the internet.",30,30 minutes,,,,,,,,,,,,,,,,Microsoft Office Skills,,,Software Skills,,Banking/Finance,,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN2LA,"Light Industrial - Language Skills - (2011)",1,false,true,Standard,"This test measures basic level skills in spelling, grammar and vocabulary related to terminology often used in a light industrial environment.",30,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,Light Industrial Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN2MA,"Light Industrial - Basic Math Skills - (2011)",1,false,true,Standard,"This test measures skills in basic mathematics commonly used in a light industrial environment including addition, subtraction, multiplication and division of whole numbers, fractions, decimals and time.  Includes both numeric and word problems.",40,25 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,Light Industrial Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN2RE,"Light Industrial - Ruler - English Units - (2011)",1,false,true,Standard,"This test assesses the ability to measure or identify the measurement of objects using a ruler with English measurement units.",20,15 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,Light Industrial Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN2RM,"Light Industrial - Ruler - Metric Units - (2011)",1,false,true,Standard,"This test assesses the ability to measure or identify the measurement of objects using a ruler with metric measurement units.",20,15 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,Light Industrial Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN2SA,"Light Industrial - Safety - (2011)",1,false,true,Standard,"This test measures understanding of practical safety considerations for a warehouse or industrial environment including use of hazardous materials, prevention of accidents and emergency procedures.",30,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,Light Industrial Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN2SM,"Light Industrial - Shop Math - (2011)",1,false,true,Standard,"This test measures mathematical skill related to typical industrial situations and diagram, including basic mathematics and geometry, the ability to identify dimensions of common objects, and reading diagrams.",30,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,Light Industrial Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN2UC,"Light Industrial - Units and Conversion - (2011)",1,false,true,Standard,"This test measures the ability to identify and perform calculations on units, including English and metric units of length, area and volume.",25,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,Light Industrial Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN3IM,"Industrial Skills - Industrial Math - (2011)",1,false,true,Standard,"Questions covering topics such as metalworking, automotive and basic machine concepts.",55,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN4AS,"Industrial Skills - Automotive Standard - (2011)",1,false,true,Standard,"Questions cover topics such as internal combustion engines, auto body, tools and automotive systems.",30,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN4CS,"Industrial Skills - Construction Standard - (2011)",1,false,true,Standard,"Questions cover topics such as woodworking, electrical and plumbing.",40,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN4ME,"Industrial Skills - Metalworking Standard - (2011)",1,false,true,Standard,"Questions covering topics such as metal properties, tools and fabrication principles.",30,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN4PS,"Industrial Skills - Plumbing Standard - (2011)",1,false,true,Standard,"Questions covering topics such as types of piping/materials, techniques, tools and basic regulations.",30,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN4QE,"Industrial Skills Quick Assessment - Electrical - (2011)",1,false,true,Standard,"Questions covering topics such as basic wiring, fixtures, tools, materials and basic regulations.",25,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_IN4QW,"Industrial Skills Quick Assessment - Woodworking - (2011)",1,false,true,Standard,"Questions covering topics such as tools, materials and basic techniques.",25,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_INMIM,"Industrial Skills - Industrial Math",1,false,true,Standard,"Questions cover industrial math skills such as calculations and conversions of distance, area and volume, fractions and decimals.",30,20 minutes,,,,,,,,,,,Industrial,,,,,,,,,,,,,,,,Manufacturing/Logistics,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN_JAVST,"Java Programming - Standard",1,false,true,Standard,"Questions covering beginner tasks the Java programming language using a simulated programming environment.",24,25 minutes,,,,,,,,,,,,IT Skills,,,,,,,,,,,,,Information Technology,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programming Skills,,,,,,,,,,,,,,,,,
EN_LGLA1,"Legal - Legal Assistant",1,false,true,Standard,"This test measures knowledge of Legal Terminology, Commercial Law, Legal Documents, General Law, Labor Law, Litigation, Property, Research (US based).",45,20 minutes,,,,,,,,,,,,,Legal,,,,,,,,,,,,,Legal Services,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,Legal Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
