[Accountability] : 7,-1 -> 9
[Autonomy] : 4,7 -> 71
[Communication] : -3,-1 -> 86
[Compliance] : -2,-2 -> 100
[Diversity] : -2,-2 -> 100
[Excellence] : -1,7 -> 9
[Innovation] : -1,-5 -> 55
[Integrity] : 8,1 -> 16
[Learning] : 1,6 -> 39
[Passion] : 8,-4 -> 0
[People] : -5,-3 -> 86
[Quality] : 2,-2 -> 55
[Results] : -1,-6 -> 39
[Service] : 0,5 -> 39
[Simplicity] : -3,-1 -> 86
[Sustainability] : -8,-1 -> 16
[Teamwork] : 4,7 -> 71
Average rating: 49.26315789473684
[Accountability] : 7,-3 -> 2
[Achievement] : 2,7 -> 39
[Adaptability] : 4,0 -> 55
[Autonomy] : -4,3 -> 16
[Communication] : -2,5 -> 16
[Compliance] : -3,5 -> 9
[Diversity] : 3,3 -> 100
[Excellence] : -4,1 -> 39
[Innovation] : 7,1 -> 26
[Integrity] : 1,4 -> 71
[Learning] : -8,-1 -> 16
[Passion] : 5,0 -> 39
[People] : 1,3 -> 86
[Quality] : 3,5 -> 86
[Results] : -2,2 -> 55
[Service] : 1,4 -> 71
[Simplicity] : 1,-4 -> 39
[Sustainability] : -4,0 -> 55
[Teamwork] : -2,-9 -> 16
Average rating: 44.0
[Accountability] : 1,6 -> 39
[Achievement] : -4,3 -> 16
[Adaptability] : -3,-5 -> 86
[Autonomy] : -1,-3 -> 86
[Communication] : 0,-4 -> 55
[Compliance] : -1,0 -> 96
[Diversity] : -3,2 -> 39
[Excellence] : 2,2 -> 100
[Innovation] : 0,-1 -> 96
[Integrity] : -2,0 -> 86
[Learning] : 1,1 -> 100
[Passion] : 0,0 -> 100
[People] : 2,5 -> 71
[Quality] : 4,4 -> 100
[Results] : -1,-7 -> 26
[Service] : 9,2 -> 16
[Simplicity] : -1,1 -> 86
[Sustainability] : -3,3 -> 26
[Teamwork] : 2,3 -> 96
Average rating: 69.47368421052632
[Accountability] : 6,6 -> 100
[Achievement] : 0,6 -> 26
[Adaptability] : 2,6 -> 55
[Autonomy] : -1,1 -> 86
[Communication] : -8,-1 -> 16
[Compliance] : 2,5 -> 71
[Diversity] : 2,-3 -> 39
[Excellence] : 9,-3 -> 0
[Innovation] : 3,10 -> 16
[Integrity] : -5,2 -> 16
[Learning] : 2,0 -> 86
[Passion] : 0,1 -> 96
[People] : 1,2 -> 96
[Quality] : 2,1 -> 96
[Results] : -7,2 -> 4
[Service] : 3,-7 -> 2
[Simplicity] : -1,0 -> 96
[Sustainability] : -3,-3 -> 100
[Teamwork] : -3,5 -> 9
Average rating: 53.1578947368421
[Accountability] : 0,-5 -> 39
[Achievement] : -9,-3 -> 26
[Adaptability] : -5,-1 -> 55
[Autonomy] : 5,9 -> 55
[Communication] : 3,1 -> 86
[Compliance] : 7,-1 -> 9
[Diversity] : -4,1 -> 39
[Excellence] : 3,0 -> 71
[Innovation] : 7,0 -> 16
[Integrity] : 1,-6 -> 16
[Learning] : 0,-3 -> 71
[Passion] : 3,0 -> 71
[People] : -4,3 -> 16
[Quality] : 2,5 -> 71
[Results] : 3,-1 -> 55
[Service] : 2,9 -> 16
[Simplicity] : -8,-4 -> 55
[Sustainability] : 1,-3 -> 55
[Teamwork] : -3,-1 -> 86
Average rating: 47.78947368421053
[Accountability] : -3,6 -> 4
[Achievement] : 0,-2 -> 86
[Adaptability] : -2,-5 -> 71
[Autonomy] : -5,1 -> 26
[Communication] : -3,-2 -> 96
[Compliance] : -2,-4 -> 86
[Diversity] : -4,2 -> 26
[Excellence] : 0,-2 -> 86
[Innovation] : -2,-7 -> 39
[Integrity] : 6,2 -> 55
[Learning] : -7,0 -> 16
[Passion] : 2,-5 -> 16
[People] : 5,-1 -> 26
[Quality] : 1,6 -> 39
[Results] : 5,3 -> 86
[Service] : 4,-1 -> 39
[Simplicity] : 4,0 -> 55
[Sustainability] : 0,0 -> 100
[Teamwork] : -5,1 -> 26
Average rating: 51.473684210526315
[Accountability] : 3,-2 -> 39
[Achievement] : 3,0 -> 71
[Adaptability] : -6,-3 -> 71
[Autonomy] : 3,2 -> 96
[Communication] : 6,-1 -> 16
[Compliance] : 1,-1 -> 86
[Diversity] : -3,-2 -> 96
[Excellence] : 3,-2 -> 39
[Innovation] : -1,-1 -> 100
[Integrity] : 3,0 -> 71
[Learning] : -1,2 -> 71
[Passion] : 0,-4 -> 55
[People] : 3,-2 -> 39
[Quality] : 7,1 -> 26
[Results] : -6,1 -> 16
[Service] : -2,-5 -> 71
[Simplicity] : -2,-5 -> 71
[Sustainability] : 1,4 -> 71
[Teamwork] : 0,4 -> 55
Average rating: 61.05263157894737
[Accountability] : 3,-2 -> 39
[Achievement] : -2,-4 -> 86
[Adaptability] : 4,-9 -> 0
[Autonomy] : -5,-1 -> 55
[Communication] : 0,2 -> 86
[Compliance] : -1,2 -> 71
[Diversity] : 1,8 -> 16
[Excellence] : 4,7 -> 71
[Innovation] : -3,-5 -> 86
[Integrity] : -1,-4 -> 71
[Learning] : 7,-6 -> 0
[Passion] : 2,-2 -> 55
[People] : 4,4 -> 100
[Quality] : 3,3 -> 100
[Results] : 4,-7 -> 1
[Service] : 2,6 -> 55
[Simplicity] : -3,0 -> 71
[Sustainability] : -3,-4 -> 96
[Teamwork] : -6,-4 -> 86
Average rating: 60.26315789473684
[Accountability] : 1,-2 -> 71
[Achievement] : -8,0 -> 9
[Adaptability] : -3,2 -> 39
[Autonomy] : 2,0 -> 86
[Communication] : -6,1 -> 16
[Compliance] : -6,0 -> 26
[Diversity] : 2,0 -> 86
[Excellence] : -1,4 -> 39
[Innovation] : -1,0 -> 96
[Integrity] : -1,-5 -> 55
[Learning] : 2,-6 -> 9
[Passion] : -2,0 -> 86
[People] : 3,3 -> 100
[Quality] : 6,-1 -> 16
[Results] : -4,6 -> 2
[Service] : 2,3 -> 96
[Simplicity] : 0,-3 -> 71
[Sustainability] : 6,-3 -> 4
[Teamwork] : 4,-3 -> 16
Average rating: 48.578947368421055
